ot_map,measure,d,n,estimator,reps,mean,median,sd,p25,p75,bootstrap_sd_mean,bootstrap_sd_median,epsilon,evaluation_formula,sinkhorn_method,non_convergence_warnings,overflow_warnings,other_warnings
CDF,normal,5,100,Entropic OT,100,0.1235759422,0.1227426279,0.005904899084,0.120320759,0.1274609334,0.0005918042906,0.0008806939589,0.5179474679,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,5,100,Entropic OT,100,0.4538666933,0.4480594929,0.02732113982,0.4336025754,0.4687699184,0.002737701377,0.002550352788,0.5179474679,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
quadratic,normal,5,100,Entropic OT,100,1.092271502,1.080993337,0.08420059607,1.037176808,1.136298552,0.008261025251,0.009899336102,0.5179474679,out_of_sample_target_dual_log_scaling,sinkhorn_log,35,0,0
CDF,t,5,100,Entropic OT,100,0.1210360441,0.1214375449,0.006561471178,0.1168400048,0.1244329419,0.0006483736315,0.0007074839905,0.5179474679,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,5,100,Entropic OT,100,0.8725041228,0.8222596238,0.1460603694,0.7861186561,0.926532126,0.0145453643,0.01165273182,0.5179474679,out_of_sample_target_dual_log_scaling,sinkhorn_log,50,1,0
quadratic,t,5,100,Entropic OT,100,3.15843899,2.826922865,1.037128247,2.596239719,3.17582955,0.1041633288,0.054152052,0.5179474679,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,40,0
CDF,normal,5,300,Entropic OT,100,0.09935379982,0.09939437634,0.003360545878,0.09707734312,0.1014333919,0.0003335447564,0.0005390925689,0.4427163233,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,5,300,Entropic OT,100,0.3419020991,0.3402745206,0.0150426471,0.3325715993,0.3504433366,0.0014806162,0.001460626885,0.4427163233,out_of_sample_target_dual_log_scaling,sinkhorn_log,3,0,0
quadratic,normal,5,300,Entropic OT,100,0.8464840574,0.8407068498,0.05062988181,0.8091003271,0.8765821378,0.005010317236,0.006074915018,0.4427163233,out_of_sample_target_dual_log_scaling,sinkhorn_log,40,0,0
CDF,t,5,300,Entropic OT,100,0.09533572156,0.09512706665,0.003372741484,0.09317031253,0.09734226205,0.0003343614985,0.0003925671035,0.4427163233,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,5,300,Entropic OT,100,0.6574863463,0.6418141488,0.06182115088,0.6123366713,0.6836379757,0.0061528943,0.007378488544,0.4427163233,out_of_sample_target_dual_log_scaling,sinkhorn_log,46,2,0
quadratic,t,5,300,Entropic OT,100,2.496291154,2.332760958,0.5962268512,2.191979445,2.605501144,0.06156116806,0.04835893259,0.4427163233,out_of_sample_target_dual_log_scaling,sinkhorn_log,40,40,0
CDF,normal,5,500,Entropic OT,100,0.09163005116,0.0915642256,0.002605348339,0.09029808706,0.09297207003,0.0002525768127,0.0002833132367,0.4115597138,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,5,500,Entropic OT,100,0.2993817887,0.2981465685,0.01172301206,0.2907481079,0.3064332534,0.001165346816,0.001532640625,0.4115597138,out_of_sample_target_dual_log_scaling,sinkhorn_log,2,0,0
quadratic,normal,5,500,Entropic OT,100,0.7506477446,0.7424591442,0.04198660101,0.7229862777,0.7719579595,0.004128202271,0.005392381567,0.4115597138,out_of_sample_target_dual_log_scaling,sinkhorn_log,44,2,0
CDF,t,5,500,Entropic OT,100,0.08692059526,0.08718373165,0.002991306499,0.08504811025,0.08876135412,0.0003001373245,0.000365765734,0.4115597138,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,1,0
piecewise_linear,t,5,500,Entropic OT,100,0.576647991,0.5628608751,0.04592556688,0.5434083379,0.5958751625,0.004662866842,0.004588780546,0.4115597138,out_of_sample_target_dual_log_scaling,sinkhorn_log,40,2,0
quadratic,t,5,500,Entropic OT,100,2.314593286,2.135282684,0.609387099,2.003944842,2.462068432,0.06165093792,0.04731718938,0.4115597138,out_of_sample_target_dual_log_scaling,sinkhorn_log,43,43,0
CDF,normal,5,1000,Entropic OT,100,0.08222282821,0.08210840301,0.002082699483,0.08065457135,0.08389321744,0.0002069011337,0.0002724130754,0.372759372,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,5,1000,Entropic OT,100,0.2504735685,0.2493980745,0.007947269844,0.2447523009,0.2547760344,0.0007838351178,0.0009090245329,0.372759372,out_of_sample_target_dual_log_scaling,sinkhorn_log,3,0,0
quadratic,normal,5,1000,Entropic OT,100,0.631576913,0.6269396146,0.03376630345,0.6109161509,0.642195921,0.003366978449,0.003181312244,0.372759372,out_of_sample_target_dual_log_scaling,sinkhorn_log,53,6,0
CDF,t,5,1000,Entropic OT,100,0.07769820245,0.07785133301,0.002009049548,0.07620870829,0.07926539043,0.0002009171226,0.0002917629611,0.372759372,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,3,0
piecewise_linear,t,5,1000,Entropic OT,100,0.4941865615,0.4888463675,0.0393382271,0.4692207206,0.5087200098,0.00406499241,0.004236678228,0.372759372,out_of_sample_target_dual_log_scaling,sinkhorn_log,43,4,0
quadratic,t,5,1000,Entropic OT,100,2.02727415,1.902951639,0.4299385368,1.781506445,2.103090214,0.04291330213,0.02948918423,0.372759372,out_of_sample_target_dual_log_scaling,sinkhorn_log,46,46,0
CDF,normal,10,100,Entropic OT,100,0.162122801,0.1616449336,0.003032183862,0.1604726248,0.1638125975,0.0003013530831,0.0004296893884,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,10,100,Entropic OT,100,0.6434029601,0.6404041631,0.01777684712,0.6313765127,0.6515033265,0.001779564392,0.001710330611,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,4,0,0
quadratic,normal,10,100,Entropic OT,100,1.396993503,1.390363736,0.0834832681,1.343945498,1.434052244,0.008296774472,0.007459817146,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,51,0,0
CDF,t,10,100,Entropic OT,100,0.1634575434,0.1634689522,0.00263639856,0.1615915291,0.1652454619,0.00026903331,0.0003157618966,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,10,100,Entropic OT,100,1.06043996,1.040915757,0.08066902652,1.014285971,1.093116475,0.008200310995,0.007374659545,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,44,1,0
quadratic,t,10,100,Entropic OT,100,3.327911115,3.117372383,1.012077654,2.965398957,3.320188699,0.100773161,0.02884596799,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,46,44,0
CDF,normal,10,300,Entropic OT,100,0.1364782972,0.1363117502,0.00204118588,0.1353551547,0.1378153343,0.0002011341497,0.0002627069989,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,10,300,Entropic OT,100,0.5390751954,0.5380992673,0.008388905038,0.5337385342,0.5446301573,0.0008356499155,0.001158357581,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,2,0,0
quadratic,normal,10,300,Entropic OT,100,1.193551061,1.187766247,0.03682691412,1.170029395,1.213612294,0.003669508386,0.00533668223,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,39,0,0
CDF,t,10,300,Entropic OT,100,0.1353524528,0.1353849385,0.001989449104,0.134194312,0.1366354447,0.0001969160706,0.0001788901739,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,10,300,Entropic OT,100,0.8909345873,0.8828972629,0.04304258069,0.8611548581,0.9062924716,0.00430475085,0.003975388984,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,1,0
quadratic,t,10,300,Entropic OT,100,2.934876644,2.761720855,0.5492471387,2.611686886,3.060043151,0.05469097775,0.04542860804,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,48,47,0
CDF,normal,10,500,Entropic OT,100,0.1273301523,0.1274413579,0.001413373011,0.1263297494,0.12842979,0.0001448028893,0.000153316251,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,10,500,Entropic OT,100,0.4962246928,0.4967292885,0.007087837748,0.492457748,0.5002563359,0.0007064434043,0.0006392837174,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,4,0,0
quadratic,normal,10,500,Entropic OT,100,1.100297432,1.09931514,0.02556862535,1.077399581,1.117034144,0.002571094463,0.004591191396,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,1,0
CDF,t,10,500,Entropic OT,100,0.125584917,0.12539203,0.001434186435,0.1244329239,0.1266066817,0.0001456863427,0.0001946848013,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,10,500,Entropic OT,100,0.8217863541,0.815491971,0.03260161508,0.7982225163,0.839698928,0.00325457355,0.003826658698,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,41,3,0
quadratic,t,10,500,Entropic OT,100,2.734683791,2.592888549,0.5927857247,2.413160497,2.847011331,0.05918350239,0.05005492918,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,45,0
CDF,normal,10,1000,Entropic OT,100,0.1175783509,0.11746494,0.001238553239,0.1167731509,0.1182358596,0.0001252670909,0.0001458634152,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,10,1000,Entropic OT,100,0.4413866588,0.4408699078,0.004787439955,0.4383046226,0.4434894747,0.000475728259,0.0007006042989,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,4,0,0
quadratic,normal,10,1000,Entropic OT,100,0.9933756586,0.9900607334,0.02042746753,0.9834184082,0.9998237363,0.002036088489,0.001647177742,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,52,1,0
CDF,t,10,1000,Entropic OT,100,0.1141512562,0.1140673173,0.00115661686,0.1134696774,0.114772571,0.0001144526568,0.0001170342376,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,10,1000,Entropic OT,100,0.7392664356,0.7356142651,0.0259387313,0.7199115557,0.7508200323,0.002597659566,0.003473057449,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,1,0
quadratic,t,10,1000,Entropic OT,100,2.399176419,2.301278753,0.4252219612,2.149816769,2.487425107,0.04207635787,0.03529716171,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,48,48,0
